session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train4,picture_file
train4,list3,1,Ball_rot,Ball,rot,2,HFP,SP,cblock,tool,Ball_rot,ball_rot.png
train4,list3,2,Bild_gruen,Bild,gruen,5,LFP,SN,cblock,furniture,Bild_weiss,bild_weiss.png
train4,list3,3,Blatt_schwarz,Blatt,schwarz,6,LFP,SP,cblock,nature,Blatt_schwarz,blatt_schwarz.png
train4,list3,4,Bombe_klein,Bombe,klein,8,HFP,SN,cblock,etc,Bombe_rot,bombe_rot.png
train4,list3,5,Buch_gruen,Buch,gruen,12,LFP,SP,cblock,etc,Buch_gruen,buch_gruen.png
train4,list3,6,Dach_weiss,Dach,weiss,15,LFP,SN,cblock,building,Dach_schwarz,dach_schwarz.png
train4,list3,7,Ei_weiss,Ei,weiss,16,HFP,SP,cblock,food,Ei_weiss,ei_weiss.png
train4,list3,8,Erde_rot,Erde,rot,17,HFP,SN,cblock,nature,Erde_weiss,erde_weiss.png
train4,list3,9,Fahrrad_klein,Fahrrad,klein,19,LFP,SN,cblock,transportation,Fahrrad_gruen,fahrrad_gruen.png
train4,list3,10,Feder_gross,Feder,gross,20,LFP,SN,cblock,etc,Feder_gruen,feder_gruen.png
train4,list3,11,Geschenk_neu,Geschenk,neu,24,LFP,SN,cblock,etc,Geschenk_rot,geschenk_rot.png
train4,list3,12,Glas_rot,Glas,rot,25,LFP,SN,cblock,tool,Glas_weiss,glas_weiss.png
train4,list3,13,Haus_schwarz,Haus,schwarz,26,LFP,SP,cblock,building,Haus_schwarz,haus_schwarz.png
train4,list3,14,Kamera_neu,Kamera,neu,32,HFP,SN,cblock,tool,Kamera_rot,kamera_rot.png
train4,list3,15,Kirche_rot,Kirche,rot,34,LFP,SP,cblock,building,Kirche_rot,kirche_rot.png
train4,list3,16,Lampe_rot,Lampe,rot,37,HFP,SP,cblock,furniture,Lampe_rot,lampe_rot.png
train4,list3,17,Mann_weiss,Mann,weiss,38,HFP,SN,cblock,human,Mann_rot,mann_rot.png
train4,list3,18,Mauer_alt,Mauer,alt,40,HFP,SN,cblock,building,Mauer_rot,mauer_rot.png
train4,list3,19,Paket_alt,Paket,alt,42,LFP,SN,cblock,etc,Paket_weiss,paket_weiss.png
train4,list3,20,Palast_neu,Palast,neu,43,LFP,SN,cblock,building,Palast_weiss,palast_weiss.png
train4,list3,21,Pfeil_gruen,Pfeil,gruen,44,HFP,SP,cblock,etc,Pfeil_gruen,pfeil_gruen.png
train4,list3,22,Rad_neu,Rad,neu,46,HFP,SN,cblock,etc,Rad_rot,rad_rot.png
train4,list3,23,Rock_schwarz,Rock,schwarz,47,HFP,SP,cblock,clothing,Rock_schwarz,rock_schwarz.png
train4,list3,24,Schale_klein,Schale,klein,49,HFP,SN,cblock,tool,Schale_rot,schale_rot.png
train4,list3,25,Schuh_weiss,Schuh,weiss,50,LFP,SP,cblock,clothing,Schuh_weiss,schuh_weiss.png
train4,list3,26,Stadion_gruen,Stadion,gruen,51,LFP,SP,cblock,building,Stadion_gruen,stadion_gruen.png
train4,list3,27,Tasse_gross,Tasse,gross,52,HFP,SN,cblock,tool,Tasse_schwarz,tasse_schwarz.png
train4,list3,28,Teppich_rot,Teppich,rot,53,HFP,SP,cblock,furniture,Teppich_rot,teppich_rot.png
train4,list3,29,Tomate_gruen,Tomate,gruen,55,HFP,SP,cblock,vegetable,Tomate_gruen,tomate_gruen.png
train4,list3,30,Turm_alt,Turm,alt,58,HFP,SN,cblock,building,Turm_rot,turm_rot.png
train4,list3,31,Wueste_gross,Wueste,gross,61,HFP,SN,cblock,nature,Wueste_weiss,wueste_weiss.png
train4,list3,32,Zug_alt,Zug,alt,64,LFP,SN,cblock,transportation,Zug_weiss,zug_weiss.png
train4,list3,33,Zwiebel_rot,Zwiebel,rot,66,HFP,SP,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
