session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train2,picture_file
train2,list3,1,Ball_rot,Ball,rot,2,HFP,SP,cblock,tool,Ball_rot,ball_rot.png
train2,list3,2,Blatt_schwarz,Blatt,schwarz,6,LFP,SP,cblock,nature,Blatt_schwarz,blatt_schwarz.png
train2,list3,3,Blume_rot,Blume,rot,7,HFP,SN,cblock,nature,Blume_schwarz,blume_schwarz.png
train2,list3,4,Bombe_klein,Bombe,klein,8,HFP,SN,cblock,etc,Bombe_gruen,bombe_gruen.png
train2,list3,5,Brief_alt,Brief,alt,9,HFP,SN,cblock,tool,Brief_gruen,brief_gruen.png
train2,list3,6,Buch_gruen,Buch,gruen,12,LFP,SP,cblock,etc,Buch_gruen,buch_gruen.png
train2,list3,7,Ei_weiss,Ei,weiss,16,HFP,SP,cblock,food,Ei_weiss,ei_weiss.png
train2,list3,8,Geschenk_neu,Geschenk,neu,24,LFP,SN,cblock,etc,Geschenk_gruen,geschenk_gruen.png
train2,list3,9,Haus_schwarz,Haus,schwarz,26,LFP,SP,cblock,building,Haus_schwarz,haus_schwarz.png
train2,list3,10,Hemd_klein,Hemd,klein,27,LFP,SN,cblock,clothing,Hemd_schwarz,hemd_schwarz.png
train2,list3,11,Kaffee_neu,Kaffee,neu,31,LFP,SN,cblock,food,Kaffee_rot,kaffee_rot.png
train2,list3,12,Kerze_alt,Kerze,alt,33,LFP,SN,cblock,etc,Kerze_gruen,kerze_gruen.png
train2,list3,13,Kirche_rot,Kirche,rot,34,LFP,SP,cblock,building,Kirche_rot,kirche_rot.png
train2,list3,14,Kleid_gross,Kleid,gross,35,LFP,SN,cblock,clothing,Kleid_gruen,kleid_gruen.png
train2,list3,15,Lampe_rot,Lampe,rot,37,HFP,SP,cblock,furniture,Lampe_rot,lampe_rot.png
train2,list3,16,Paket_alt,Paket,alt,42,LFP,SN,cblock,etc,Paket_gruen,paket_gruen.png
train2,list3,17,Palast_neu,Palast,neu,43,LFP,SN,cblock,building,Palast_rot,palast_rot.png
train2,list3,18,Pfeil_gruen,Pfeil,gruen,44,HFP,SP,cblock,etc,Pfeil_gruen,pfeil_gruen.png
train2,list3,19,Pflanze_gruen,Pflanze,gruen,45,HFP,SN,cblock,nature,Pflanze_schwarz,pflanze_schwarz.png
train2,list3,20,Rock_schwarz,Rock,schwarz,47,HFP,SP,cblock,clothing,Rock_schwarz,rock_schwarz.png
train2,list3,21,Rose_weiss,Rose,weiss,48,HFP,SN,cblock,nature,Rose_rot,rose_rot.png
train2,list3,22,Schuh_weiss,Schuh,weiss,50,LFP,SP,cblock,clothing,Schuh_weiss,schuh_weiss.png
train2,list3,23,Stadion_gruen,Stadion,gruen,51,LFP,SP,cblock,building,Stadion_gruen,stadion_gruen.png
train2,list3,24,Tasse_gross,Tasse,gross,52,HFP,SN,cblock,tool,Tasse_gruen,tasse_gruen.png
train2,list3,25,Teppich_rot,Teppich,rot,53,HFP,SP,cblock,furniture,Teppich_rot,teppich_rot.png
train2,list3,26,Tomate_gruen,Tomate,gruen,55,HFP,SP,cblock,vegetable,Tomate_gruen,tomate_gruen.png
train2,list3,27,Zelt_alt,Zelt,alt,63,LFP,SN,cblock,building,Zelt_weiss,zelt_weiss.png
train2,list3,28,Zug_alt,Zug,alt,64,LFP,SN,cblock,transportation,Zug_rot,zug_rot.png
train2,list3,29,Zweig_gruen,Zweig,gruen,65,HFP,SN,cblock,nature,Zweig_schwarz,zweig_schwarz.png
train2,list3,30,Zwiebel_rot,Zwiebel,rot,66,HFP,SP,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
